"Source,Target"
"ALGOL,PL/I"
"ALGOL,Simula"
"ALGOL,BCPL"
"ALGOL,B (programming language)"
"ALGOL,Pascal (programming language)"
"ALGOL,C (programming language)"
"AWK,Tcl"
"AWK,AMPL"
"AWK,Perl"
"AWK,Lua (programming language)"
"ActionScript,Haxe"
"BASIC,COMAL"
"BASIC,GRASS (programming language)"
"BCPL,B (programming language)"
"BCPL,C (programming language)"
"BCPL,Go (programming language)"
"COBOL,CobolScript"
"COBOL,EGL (programming language)"
"COBOL,PL/I"
"COBOL,Programming Language for Business"
"COMIT,SNOBOL"
"COMTRAN,COBOL"
"COWSEL,POP-2"
"Caml,OCaml"
"Clojure,Elixir (programming language)"
"CoffeeScript,LiveScript"
"DBase,Clipper (programming language)"
"DBase,Harbour (software)"
"FLOW-MATIC,MATH-MATIC"
"FLOW-MATIC,COBOL"
"Fortran,ALGOL 58"
"Fortran,BASIC"
"Fortran,C (programming language)"
"Fortran,Chapel (programming language)"
"Fortran,CMS-2 (programming language)"
"Fortran,Fortress (programming language)"
"Fortran,PL/I"
"Fortran,MUMPS"
"Fortran,IDL (programming language)"
"Fortran,Ratfor"
"HyperTalk,ActionScript"
"HyperTalk,AppleScript"
"HyperTalk,ECMAScript"
"HyperTalk,JavaScript"
"HyperTalk,Lingo (programming language)"
"HyperTalk,LiveCode"
"HyperTalk,SenseTalk"
"HyperTalk,SuperTalk"
"JOSS,TELCOMP"
"JOSS,FOCAL (programming language)"
"JOSS,MUMPS"
"JOVIAL,CMS-2 (programming language)"
"JOVIAL,Coral 66"
"JOVIAL,SYMPL"
"JavaScript,TypeScript"
"JavaScript,CoffeeScript"
"JavaScript,ActionScript"
"JavaScript,Dart (programming language)"
"JavaScript,Objective-J"
"JavaScript,Opa (programming language)"
"JavaScript,Haxe"
"MATLAB,Julia (programming language)"
"MATLAB,GNU Octave"
"MATLAB,Scilab"
"MUMPS,Caché ObjectScript"
"Modula,Alma-0"
"Modula,Go (programming language)"
"Modula,Modula-2"
"Modula-2,Modula-3"
"Modula-2,Oberon (programming language)"
"Modula-2,Ada (programming language)"
"Modula-2,Lua (programming language)"
"Modula-2,Seed7"
"Modula-3,C Sharp (programming language)"
"Modula-3,Java (programming language)"
"Modula-3,Nim (programming language)"
"Modula-3,OCaml"
"Modula-3,Python (programming language)"
"OCaml,Coq"
"OCaml,Elm (programming language)"
"OCaml,F Sharp (programming language)"
"OCaml,F* (programming language)"
"OCaml,Haxe"
"OCaml,Opa (programming language)"
"OCaml,Rust (programming language)"
"OCaml,Scala (programming language)"
"ObjectLOGO,NetLogo"
"ObjectLOGO,Smalltalk"
"ObjectLOGO,Etoys (programming language)"
"ObjectLOGO,Scratch (programming language)"
"ObjectLOGO,REBOL"
"Objective-C,Java (programming language)"
"Objective-C,Nu (programming language)"
"Objective-C,Objective-J"
"Objective-C,Swift (programming language)"
"PHP,Hack (programming language)"
"PL/I,Control Language"
"PL/I,PL/M"
"PL/I,REXX"
"PL360,ALGOL W"
"Perl,CoffeeScript"
"Perl,JavaScript"
"Perl,Julia (programming language)"
"Perl,LPC (programming language)"
"Perl,PHP"
"Perl,Python (programming language)"
"Perl,Raku (programming language)"
"Perl,Ruby (programming language)"
"Perl,PowerShell"
"Prolog,Constraint Handling Rules"
"Prolog,Clojure"
"Prolog,Datalog"
"Prolog,Erlang (programming language)"
"Prolog,Mercury (programming language)"
"Prolog,Oz (programming language)"
"Prolog,Strand (programming language)"
"Prolog,Visual Prolog"
"Prolog,XSB"
"REBOL,Red (programming language)"
"REXX,NetRexx"
"REXX,Object REXX"
"Rc,Es (Unix shell)"
"SETL,ABC (programming language)"
"SISAL,Haskell (programming language)"
"SNOBOL,AWK"
"SNOBOL,Icon (programming language)"
"SNOBOL,Lua (programming language)"
"SP/k,Turing (programming language)"
"SQL,PowerShell"
"Sather,Cool (programming language)"
"Sed,Perl"
"Sed,AWK"
"Smalltalk,AppleScript"
"Smalltalk,Dart (programming language)"
"Smalltalk,Dylan (programming language)"
"Smalltalk,Erlang (programming language)"
"Smalltalk,Etoys (programming language)"
"Smalltalk,Go (programming language)"
"Smalltalk,Io (programming language)"
"Smalltalk,Java (programming language)"
"Smalltalk,Lasso (programming language)"
"Smalltalk,Logtalk"
"Smalltalk,Newspeak (programming language)"
"Smalltalk,NewtonScript"
"Smalltalk,Object REXX"
"Smalltalk,Objective-C"
"Smalltalk,PHP"
"Smalltalk,Python (programming language)"
"Smalltalk,Raku (programming language)"
"Smalltalk,Ruby (programming language)"
"Smalltalk,Scala (programming language)"
"Smalltalk,Scratch (programming language)"
"Smalltalk,Self (programming language)"
"Speedcoding,Fortran"
"Speedcoding,ALGOL 58"
"Speedcoding,BASIC"
"Speedcoding,C (programming language)"
"Speedcoding,PL/I"
"Speedcoding,MUMPS"
"Speedcoding,Ratfor"
"Squeak,Etoys (programming language)"
"Squeak,Scratch (programming language)"
"Starlogo,NetLogo"
"Starlogo,Etoys (programming language)"
"Strongtalk,Java (programming language)"
"TELCOMP,MUMPS"
"Tcl,PHP"
"Tcl,Tea (programming language)"
"Verilog,SystemVerilog"
"ZetaLisp,Common Lisp"
